Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Berg, Ronald ;1966;69;Vermögensberater;1;FREIE WÄHLER;HE;13;
Berger, Frank ;1976;81;Rechtsanwalt;1;FDP;BW;28;291
Berger, Maren Babet ;1968;87;Studienrätin;2;GRÜNE;SH;9;
Berghegger, Dr. Andre ;1972;81;Jurist;1;CDU;NI;21;38
Bergholz, Andreas ;1992;78;Verwaltungsangestellter;1;PIRATEN;BW;24;287
Bergmann, Thomas ;1966;87;Lehrer;1;ÖDP;BW;16;294
Bergner, Dr. Christoph Georg ;1948;3;Hochschulagraringenieur;1;CDU;ST;2;72
Berha, Nikolaus ;1945;77;Informatiker;1;NPD;;   ;181
Bering, Axel ;1962;69;Bankfachwirt;1;FDP;BE;5;
Berkhan, Monika ;1956;75;Projektleiterin;2;GRÜNE;NI;17;45
Berkhout, Volker ;1981;60;Diplom-Wirtschafts-Ingenieur;1;PIRATEN;HE;1;168
Berlingen, Ralf ;1967;91;Hotelier;1;FDP;RP;16;
Berndt, Dr. Michael-Tillmann ;1956;61;Physiker;1;PIRATEN;NI;7;
Berndt, Wolfgang Herbert Josef ;1949;88;Sozialwirt;1;DIE LINKE;;   ;232
Bernhard, Bettina ;1961;78;Kaufmännische Angestellte;2;FREIE WÄHLER;NW;3;101
Berns, Wolfgang ;1948;78;Kaufmann;1;FDP;HE;11;172
Bernschneider, Florian ;1986;76;MdB, Betriebswirt;1;FDP;NI;4;50
Bernshausen, Ina Nadine ;1979;81;Richterin;2;GRÜNE;HE;9;
Bersch, Johannes ;1954;95;Rentner;1;REP;RP;4;
Bertini, Rainer ;1967;62;IT-Techniker;1;FREIE WÄHLER;;   ;110
Bertram, Ute ;1961;69;Bankfachwirtin;2;CDU;;   ;48
Berweiler, Jan ;1977;84;Arzt;1;Die PARTEI;BE;45;
Besser, Helmut ;1951;83;Freiberuflicher Künstler;1;FREIE WÄHLER;TH;5;193
Besserer, Friedlinde ;1953;78;Rechtsanwaltsfachangestellte;2;REP;BY;13;
Bestehorn, Harald ;1962;88;Diplom-Politologe (Dipl. rer. pol.);1;NPD;;   ;237
Bethke, Christian ;1978;69;Bankangestellter;1;PIRATEN;;   ;183
Betz, Thomas Georg ;1960;88;Diplom-Kaufmann;1;AfD;NW;35;
Betzler, Anton ;1953;77;EDV-Administrator;1;PIRATEN;;   ;257
Beuermann, Bärbel ;1955;87;Lehrerin;2;DIE LINKE;;   ;122
Beuthel, Rainer ;1950;82;Diplom-Bibliothekar;1;DIE LINKE;SH;10;
Beutin, Lorenz Gösta ;1978;88;Wissenschaftlicher Mitarbeiter;1;DIE LINKE;;   ;6
Beyer, Dr. Richard Alexander ;1969;81;Rechtsanwalt;1;FREIE WÄHLER;BY;42;
Beyer, Katja ;1984;87;Lehrerin;2;PIRATEN;NI;9;
Beyer, Peter ;1970;76;MdB, Rechtsanwalt;1;CDU;NW;51;105
Bezler, Thomas ;1966;85;Heilpraktiker;1;DIE VIOLETTEN;;   ;264
Bieberstein Marschall von, Matern ;1962;68;Verlagskaufmann;1;CDU;BW;7;281
Biedermann, Lucia ;1981;81;Rechtsanwätin;2;FDP;BW;25;278
Bielang, Dieter ;1961;78;Industriekaufmann;1;AfD;;   ;264
Bielig-Schultz, Susanne ;1960;69;Sparkassen-Fachwirtin;2;AfD;NI;15;
Bienia, Nathanael ;1990;94;Student;1;PIRATEN;BW;19;
Bierbaum, Maximilian ;1991;94;Student;1;GRÜNE;HH;4;
Bieser, Ursula ;1963;81;Rechtsanwältin;2;AfD;RP;6;207
Biesterfeld, Dietlind Juliane ;1968;81;Richterin am Amtsgericht;2;SPD;BB;12;
Biewer, Leo ;1958;69;Versicherungskaufmann;1;CDU;RP;37;
Bihler, Michael ;1979;78;kaufmännischer Angestellter;1;CSU;BY;45;
Bilger, Steffen ;1979;76;MdB,Rechtsanwalt;1;CDU;;   ;265
Binder, Dr. Michaela ;1966;88;Biologin;2;DIE FRAUEN;BY;5;
Binder, Karin ;1957;76;Mitglied des Deutschen Bundestages;2;DIE LINKE;BW;3;271
Binder, Kuno Alois Anton ;1941;50;Möbeltischler;1;ÖDP;TH;12;
Binder, Raimund ;1964;86;Heimleiter;1;ÖDP;BY;8;251
Bindges, Anja ;1963;86;Sozialbetriebswirtin;2;SPD;RP;15;201
